ID,User,Date,Tweet
1338243377272418304,alex3434_alex,2020-12-13 22:04:19,"RT @lamb_cube: reject humanity...watch lmk
#legomonkiekid #monkiekid https://t.co/ksqLJWPOUZ"
1338243377272381440,sadz1312,2020-12-13 22:04:19,@MrD3nt Shouldn’t you be getting dressed?
1338243377272213504,BuzzIzarownd,2020-12-13 22:04:19,@BobMooreNV The way this ones going give it a few minutes
1338243377268224000,weereidser,2020-12-13 22:04:19,"RT @NIH_LLAMAS: @Colinoscopy @akimbelsannit ""I am sorry if anyone feels murdered by what I did."""
1338243377268191232,ExplicitTrend,2020-12-13 22:04:19,Idk who better TPK or Papi Cuisine
1338243377263992835,jeffkhamilton,2020-12-13 22:04:19,"@malakabas_ Thank you, Malak. 🙏🏻"
1338243377259753476,TommyL2210,2020-12-13 22:04:19,@Goz85MU I'm not sure to be fair.....I know he played tonight
1338243377255641089,eliza_green18,2020-12-13 22:04:19,RT @brainwxrms: ur not “vibing” u are in severe psychological distress
1338243377255522304,kwangger,2020-12-13 22:04:19,RT @BDSixsmith: As an opinion columnist I sympathise with academics who think their profession doesn't get enough respect. Some people thin…
1338243377251409921,vmindollz,2020-12-13 22:04:19,how is ur bestie a communist but still classist https://t.co/4IRADeogb5 https://t.co/MyAIG20KQ8
1338243377247236101,thebengalorian,2020-12-13 22:04:19,@JamesRapien A loss yes but always a good day to be at PBS!
1338243377247236097,supercut0fus,2020-12-13 22:04:19,Every evening its the same bullshit of brushing my teeth and then eating then repeat
1338243377247219718,icarusfallwt,2020-12-13 22:04:19,louis made an entire album gender neutral i love him so so so so much he’s the best person out there i love him
1338243377238831106,JRinkz24,2020-12-13 22:04:19,"RT @TheWeirdWorld: It sucks when I read read as read and not read, so I have to re-read read as read so I can read read correctly and it ca…"
1338243377230458881,Switchb27465335,2020-12-13 22:04:19,"@RobloxBattles only the hands are easier. im not trying to complain, but maybe put a checkpoint on each of the obby… https://t.co/vQfSldnHnG"
